,symbol,priceChange,priceChangePercent,lastPrice
42,IOTABTC,-1.15e-06,-8.382,1.257e-05
255,BLZETH,-1.17e-06,-2.8,4.061e-05
579,COSBNB,-1.25e-06,-3.972,3.022e-05
1823,VOXELBTC,-1.27e-06,-4.606,2.63e-05
211,NEBLBTC,-1.29e-06,-12.823,8.77e-06
1409,EZBTC,-1.4e-06,-2.927,4.643e-05
937,CRVBTC,-1.49e-06,-2.287,6.367e-05
179,XLMETH,-1.5e-06,-2.315,6.33e-05
2012,FUNBNB,-1.55e-06,-4.978,2.959e-05
209,AIONETH,-1.58e-06,-7.054,2.082e-05
104,KMDBTC,-1.59e-06,-12.451,1.118e-05
1227,ATMBTC,-1.6e-06,-1.402,0.0001125
1913,ACABTC,-1.63e-06,-6.711,2.266e-05
1775,AMPBNB,-1.68e-06,-3.687,4.388e-05
1808,BICOBTC,-1.7e-06,-6.615,2.4e-05
1665,AGLDBTC,-1.75e-06,-6.757,2.415e-05
2009,ASTRETH,-1.79e-06,-3.733,4.616e-05
590,TOMOBTC,-1.83e-06,-7.143,2.379e-05
1856,JOEBTC,-1.88e-06,-8.876,1.93e-05
907,BALBTC,-1.9e-06,-0.532,0.0003555
154,LSKBTC,-1.93e-06,-4.154,4.453e-05
2029,REIETH,-1.99e-06,-7.755,2.367e-05
2041,LDOBTC,-2.01e-06,-3.078,6.329e-05
207,ELFETH,-2.1e-06,-2.596,7.88e-05
25,OMGBTC,-2.2e-06,-2.172,9.91e-05
1332,ALICEBTC,-2.3e-06,-1.85,0.000122
1229,ASRBTC,-2.6e-06,-3.457,7.26e-05
1769,GALAETH,-2.64e-06,-5.309,4.709e-05
44,LINKBTC,-2.7e-06,-0.962,0.000278
1009,UMABTC,-2.8e-06,-1.991,0.0001378
1225,OGBTC,-2.9e-06,-3.816,7.31e-05
52,MTLBTC,-2.91e-06,-6.161,4.432e-05
1395,WINBRL,-3e-06,-0.281,0.001066
1221,1INCHBTC,-3.05e-06,-8.333,3.355e-05
1196,GLMETH,-3.2e-06,-2.647,0.0001177
1951,TLMBNB,-3.3e-06,-1.785,0.0001816
778,SOLBTC,-3.4e-06,-0.159,0.0021378
1216,PSGBTC,-3.5e-06,-1.54,0.0002237
1231,CELOBTC,-3.65e-06,-5.497,6.275e-05
1811,FLUXBTC,-3.69e-06,-10.808,3.045e-05
246,STEEMETH,-3.7e-06,-2.602,0.0001385
1396,MIRBTC,-3.71e-06,-13.655,2.346e-05
523,ONEBNB,-4e-06,-2.0,0.000196
482,CELRBNB,-4.1e-06,-5.076,7.668e-05
1756,PORTOBTC,-4.3e-06,-5.976,6.766e-05
310,REPBTC,-4.4e-06,-1.469,0.0002952
284,WANETH,-4.5e-06,-3.451,0.0001259
214,BRDETH,-4.84e-06,-10.06,4.327e-05
1907,API3BTC,-5.23e-06,-6.347,7.717e-05
1028,WINGBTC,-5.3e-06,-3.374,0.0001518
1040,UNIBTC,-5.4e-06,-2.664,0.0001973
1949,BETAETH,-5.7e-06,-6.934,7.65e-05
2023,MOBBTC,-5.71e-06,-6.889,7.718e-05
273,ONTETH,-5.8e-06,-3.537,0.0001582
933,ANTBTC,-5.83e-06,-6.96,7.794e-05
1968,KDABTC,-5.9e-06,-6.548,8.42e-05
331,XRPBNB,-6e-06,-0.372,0.001606
641,KAVABTC,-6.2e-06,-6.452,8.99e-05
22,LRCETH,-6.34e-06,-2.504,0.0002469
1064,SCRTETH,-6.4e-06,-0.521,0.0012227
1211,GRTETH,-6.5e-06,-5.814,0.0001053
1377,PUNDIXETH,-6.6e-06,-2.587,0.0002485
35,KNCBTC,-6.61e-06,-9.03,6.659e-05
128,BATETH,-6.7e-06,-3.234,0.0002005
846,SNXBTC,-6.8e-06,-6.05,0.0001056
1737,CITYBTC,-7.1e-06,-3.046,0.000226
378,VETBNB,-7.2e-06,-5.556,0.0001224
1267,PROSETH,-7.4e-06,-5.263,0.0001332
1156,STRAXETH,-7.5e-06,-2.48,0.0002949
876,RUNEBTC,-7.7e-06,-4.87,0.0001504
1791,SANTOSBTC,-8.1e-06,-9.045,8.145e-05
1604,PROMBTC,-8.2e-06,-4.442,0.0001764
95,ENJETH,-8.3e-06,-2.309,0.0003512
1585,VGXETH,-9e-06,-2.079,0.000424
1053,HNTBTC,-9.1e-06,-2.369,0.000375
1669,RADBTC,-9.7e-06,-9.818,8.91e-05
1616,DYDXBTC,-9.76e-06,-9.74,9.045e-05
1776,AMPBUSD,-1e-05,-0.071,0.01409
1945,ALPINEBTC,-1.024e-05,-8.559,0.0001094
2000,BSWETH,-1.03e-05,-2.901,0.0003447
607,CHZBNB,-1.12e-05,-2.469,0.0004425
889,FIOBNB,-1.13e-05,-5.009,0.0002143
28,ZRXETH,-1.14e-05,-4.946,0.0002191
1916,ANCBTC,-1.198e-05,-34.063,2.319e-05
1933,PEOPLEBNB,-1.26e-05,-12.805,8.58e-05
1959,GMTBTC,-1.279e-05,-17.876,5.876e-05
1896,LOKABTC,-1.287e-05,-15.263,7.145e-05
235,RLCETH,-1.4e-05,-2.724,0.0005
1299,AUCTIONBTC,-1.46e-05,-5.252,0.0002634
1095,NEARBTC,-1.487e-05,-4.546,0.00031221
948,NMRBTC,-1.5e-05,-2.788,0.000523
1522,BONDBTC,-1.51e-05,-8.733,0.0001578
1067,SPARTABNB,-1.52e-05,-5.287,0.0002723
180,XLMBNB,-1.57e-05,-3.293,0.0004611
1690,FTMETH,-1.58e-05,-6.23,0.0002378
1866,ROSEBNB,-1.59e-05,-3.787,0.000404
74,BTGBTC,-1.6e-05,-2.125,0.000737
1921,XNOETH,-1.64e-05,-2.668,0.0005984
1447,LPTBTC,-1.7e-05,-2.861,0.0005773
1593,WAXPBNB,-1.73e-05,-3.523,0.0004738
1077,XVSBTC,-1.81e-05,-9.301,0.0001765
1050,AVAXBTC,-1.86e-05,-1.283,0.001431
1239,BTCSTBTC,-1.87e-05,-5.045,0.000352
43,IOTAETH,-1.88e-05,-10.102,0.0001673
625,HBARBNB,-1.89e-05,-5.154,0.0003478
1476,ATABNB,-1.9e-05,-2.544,0.000728
810,STMXUSDT,-2e-05,-0.181,0.01101
1089,AAVEBTC,-2.1e-05,-0.612,0.00341
1782,PYRBTC,-2.15e-05,-9.59,0.0002027
858,VTHOUSDT,-2.2e-05,-0.873,0.002498
1941,IDEXBNB,-2.24e-05,-7.645,0.0002706
1630,GALABNB,-2.292e-05,-6.268,0.00034277
695,OGNBNB,-2.3e-05,-2.381,0.000943
1197,GHSTETH,-2.34e-05,-3.065,0.00074
712,WRXBNB,-2.4e-05,-2.057,0.001143
162,MANAETH,-2.48e-05,-4.915,0.0004798
1973,APEBTC,-2.481e-05,-8.16,0.00027922
1153,CVPETH,-2.57e-05,-10.89,0.0002103
329,THETAETH,-2.6e-05,-3.295,0.000763
1137,AXSBTC,-2.7e-05,-3.226,0.00081
1895,XTZETH,-2.9e-05,-3.095,0.000908
792,CHRBNB,-2.96e-05,-3.367,0.0008494
1080,ALPHABNB,-3e-05,-4.184,0.000687
2033,GALBTC,-3.103e-05,-12.243,0.00022243
2020,MBLBUSD,-3.7e-05,-0.61,0.006029
1,LTCBTC,-3.8e-05,-1.464,0.002557
963,RSRBUSD,-4e-05,-0.594,0.00669
1122,CTKBNB,-4.1e-05,-1.426,0.002835
155,LSKETH,-4.2e-05,-6.656,0.000589
1862,ICPETH,-4.3e-05,-0.937,0.004545
944,OCEANBNB,-4.4e-05,-4.458,0.000943
1677,BETABNB,-4.45e-05,-7.369,0.0005594
1718,BNXBTC,-4.8e-05,-1.391,0.003402
194,WAVESBTC,-4.83e-05,-11.137,0.0003854
70,DASHBTC,-4.9e-05,-2.061,0.002329
660,BCHBTC,-5e-05,-0.671,0.0074
1483,TORNBTC,-5.08e-05,-3.675,0.0013316
53,MTLETH,-5.17e-05,-8.064,0.0005894
1788,ALCXBTC,-5.2e-05,-3.383,0.001485
317,ZENBTC,-5.4e-05,-6.236,0.000812
1402,FORTHBTC,-5.41e-05,-28.429,0.0001362
1526,MLNBTC,-5.8e-05,-4.563,0.001213
1745,SANDETH,-5.95e-05,-7.411,0.0007434
1550,QNTBTC,-6.2e-05,-2.56,0.00236
345,ENJBNB,-6.4e-05,-2.423,0.002577
26,OMGETH,-6.5e-05,-4.714,0.001314
470,FETBNB,-6.6e-05,-9.607,0.000621
1746,DOTETH,-6.7e-05,-1.356,0.004873
496,MITHUSDT,-7e-05,-0.311,0.02243
1140,HARDBNB,-7.1e-05,-7.442,0.000883
1872,LRCBNB,-7.4e-05,-3.964,0.001793
1023,BELBNB,-7.9e-05,-4.719,0.001595
1852,SPELLBUSD,-8e-05,-3.265,0.00237
749,MBLUSDT,-8.3e-05,-1.368,0.005985
818,IQBUSD,-9e-05,-1.24,0.00717
1779,PLABNB,-9.1e-05,-5.0,0.001729
585,COCOSBNB,-9.2e-05,-2.918,0.003061
1926,MCBNB,-9.6e-05,-2.248,0.004174
923,BUSDDAI,-0.0001,-0.01,0.9999
1016,XRPDOWNUSDT,-0.0001047,-10.817,0.0008632
1563,MINABNB,-0.000108,-2.295,0.004598
36,KNCETH,-0.0001116,-11.212,0.0008838
45,LINKETH,-0.000116,-3.047,0.003691
581,COSUSDT,-0.00012,-1.228,0.00965
1984,BSWBNB,-0.0001234,-4.698,0.0025031
529,FTMBNB,-0.0001296,-6.946,0.0017363
1323,PONDBUSD,-0.00013,-0.921,0.01399
1894,UNIETH,-0.000133,-4.833,0.002619
1324,PONDUSDT,-0.00014,-0.991,0.01399
